id,digit
2049,6
2050,0
2051,6
2052,0
2053,3
2054,8
2055,5
2056,5
2057,4
2058,4
2059,1
2060,5
2061,7
2062,5
2063,1
2064,4
2065,1
2066,6
2067,1
2068,4
2069,5
2070,9
2071,1
2072,3
2073,3
2074,7
2075,0
2076,1
2077,4
2078,2
2079,8
2080,1
2081,6
2082,8
2083,0
2084,4
2085,1
2086,9
2087,6
2088,4
2089,9
2090,1
2091,8
2092,2
2093,3
2094,0
2095,1
2096,6
2097,2
2098,1
2099,3
2100,4
2101,7
2102,2
2103,2
2104,6
2105,1
2106,0
2107,0
2108,8
2109,2
2110,2
2111,1
2112,9
2113,3
2114,0
2115,0
2116,0
2117,1
2118,6
2119,5
2120,6
2121,3
2122,3
2123,2
2124,7
2125,6
2126,9
2127,1
2128,7
2129,7
2130,9
2131,7
2132,4
2133,5
2134,1
2135,6
2136,6
2137,7
2138,3
2139,5
2140,6
2141,4
2142,4
2143,0
2144,6
2145,9
2146,3
2147,0
2148,1
2149,6
2150,0
2151,6
2152,0
2153,5
2154,8
2155,2
2156,9
2157,5
2158,7
2159,9
2160,2
2161,9
2162,8
2163,4
2164,6
2165,6
2166,2
2167,9
2168,7
2169,2
2170,0
2171,5
2172,9
2173,6
2174,7
2175,5
2176,8
2177,1
2178,2
2179,1
2180,5
2181,9
2182,6
2183,5
2184,9
2185,6
2186,6
2187,0
2188,9
2189,8
2190,4
2191,5
2192,2
2193,6
2194,5
2195,3
2196,8
2197,9
2198,0
2199,8
2200,6
2201,6
2202,4
2203,0
2204,3
2205,4
2206,1
2207,8
2208,5
2209,6
2210,0
2211,5
2212,1
2213,1
2214,1
2215,0
2216,4
2217,4
2218,6
2219,0
2220,4
2221,9
2222,8
2223,3
2224,1
2225,4
2226,4
2227,0
2228,2
2229,8
2230,5
2231,0
2232,0
2233,1
2234,0
2235,4
2236,9
2237,2
2238,6
2239,3
2240,1
2241,0
2242,3
2243,5
2244,2
2245,9
2246,0
2247,2
2248,9
2249,1
2250,5
2251,1
2252,1
2253,6
2254,6
2255,0
2256,0
2257,2
2258,9
2259,4
2260,2
2261,2
2262,3
2263,4
2264,0
2265,7
2266,0
2267,0
2268,9
2269,2
2270,2
2271,8
2272,9
2273,6
2274,4
2275,5
2276,7
2277,6
2278,7
2279,7
2280,4
2281,5
2282,9
2283,8
2284,5
2285,6
2286,7
2287,8
2288,6
2289,8
2290,8
2291,1
2292,1
2293,1
2294,9
2295,2
2296,6
2297,1
2298,1
2299,0
2300,7
2301,2
2302,3
2303,5
2304,2
2305,2
2306,9
2307,7
2308,8
2309,2
2310,4
2311,9
2312,8
2313,2
2314,2
2315,4
2316,4
2317,6
2318,3
2319,6
2320,5
2321,3
2322,5
2323,9
2324,1
2325,8
2326,6
2327,9
2328,9
2329,5
2330,1
2331,6
2332,9
2333,8
2334,9
2335,1
2336,1
2337,1
2338,2
2339,6
2340,9
2341,2
2342,6
2343,1
2344,0
2345,7
2346,9
2347,1
2348,3
2349,5
2350,3
2351,1
2352,2
2353,0
2354,0
2355,1
2356,2
2357,8
2358,7
2359,5
2360,4
2361,2
2362,9
2363,1
2364,2
2365,2
2366,5
2367,2
2368,6
2369,3
2370,4
2371,9
2372,6
2373,7
2374,9
2375,5
2376,0
2377,2
2378,9
2379,2
2380,5
2381,3
2382,4
2383,0
2384,5
2385,8
2386,1
2387,3
2388,2
2389,4
2390,9
2391,7
2392,8
2393,4
2394,8
2395,5
2396,1
2397,1
2398,6
2399,3
2400,5
2401,7
2402,4
2403,6
2404,6
2405,9
2406,0
2407,7
2408,5
2409,8
2410,0
2411,7
2412,0
2413,1
2414,0
2415,9
2416,8
2417,0
2418,8
2419,2
2420,9
2421,7
2422,2
2423,3
2424,8
2425,1
2426,1
2427,1
2428,8
2429,8
2430,9
2431,3
2432,8
2433,8
2434,9
2435,9
2436,0
2437,2
2438,7
2439,9
2440,1
2441,7
2442,9
2443,7
2444,3
2445,9
2446,4
2447,4
2448,0
2449,3
2450,3
2451,3
2452,0
2453,2
2454,9
2455,6
2456,5
2457,6
2458,5
2459,1
2460,8
2461,6
2462,2
2463,0
2464,9
2465,7
2466,1
2467,9
2468,4
2469,0
2470,3
2471,1
2472,8
2473,5
2474,9
2475,9
2476,6
2477,4
2478,9
2479,4
2480,0
2481,4
2482,6
2483,9
2484,6
2485,8
2486,3
2487,2
2488,2
2489,6
2490,7
2491,9
2492,2
2493,2
2494,2
2495,6
2496,8
2497,3
2498,9
2499,7
2500,7
2501,4
2502,8
2503,6
2504,5
2505,6
2506,1
2507,0
2508,8
2509,7
2510,4
2511,5
2512,1
2513,5
2514,8
2515,2
2516,9
2517,1
2518,5
2519,0
2520,5
2521,5
2522,8
2523,9
2524,7
2525,8
2526,1
2527,3
2528,8
2529,2
2530,0
2531,8
2532,7
2533,2
2534,4
2535,5
2536,4
2537,4
2538,4
2539,7
2540,8
2541,4
2542,9
2543,0
2544,5
2545,9
2546,3
2547,9
2548,1
2549,1
2550,5
2551,2
2552,2
2553,2
2554,5
2555,0
2556,0
2557,9
2558,1
2559,0
2560,1
2561,7
2562,8
2563,2
2564,3
2565,1
2566,2
2567,7
2568,6
2569,6
2570,7
2571,6
2572,0
2573,3
2574,5
2575,0
2576,7
2577,3
2578,8
2579,3
2580,2
2581,0
2582,2
2583,6
2584,7
2585,2
2586,3
2587,6
2588,7
2589,0
2590,5
2591,6
2592,7
2593,1
2594,2
2595,4
2596,0
2597,3
2598,9
2599,4
2600,0
2601,5
2602,2
2603,7
2604,9
2605,0
2606,8
2607,3
2608,6
2609,2
2610,8
2611,2
2612,1
2613,5
2614,3
2615,9
2616,6
2617,1
2618,9
2619,2
2620,8
2621,4
2622,9
2623,0
2624,6
2625,2
2626,5
2627,0
2628,8
2629,0
2630,0
2631,4
2632,9
2633,0
2634,1
2635,8
2636,5
2637,3
2638,4
2639,1
2640,0
2641,4
2642,3
2643,8
2644,9
2645,5
2646,1
2647,0
2648,3
2649,2
2650,4
2651,5
2652,6
2653,5
2654,1
2655,7
2656,2
2657,9
2658,8
2659,1
2660,5
2661,0
2662,3
2663,1
2664,2
2665,2
2666,4
2667,5
2668,1
2669,1
2670,9
2671,9
2672,6
2673,6
2674,6
2675,1
2676,5
2677,4
2678,0
2679,0
2680,4
2681,5
2682,5
2683,5
2684,7
2685,3
2686,4
2687,6
2688,5
2689,2
2690,5
2691,4
2692,2
2693,2
2694,7
2695,0
2696,6
2697,2
2698,7
2699,9
2700,1
2701,9
2702,6
2703,0
2704,6
2705,3
2706,1
2707,1
2708,9
2709,1
2710,2
2711,8
2712,6
2713,0
2714,5
2715,2
2716,2
2717,6
2718,5
2719,0
2720,0
2721,3
2722,8
2723,0
