id,digit
2049,6
2050,8
2051,8
2052,0
2053,3
2054,9
2055,5
2056,3
2057,4
2058,4
2059,1
2060,5
2061,7
2062,5
2063,1
2064,5
2065,1
2066,6
2067,1
2068,4
2069,5
2070,9
2071,1
2072,2
2073,3
2074,7
2075,0
2076,1
2077,4
2078,6
2079,8
2080,8
2081,0
2082,6
2083,0
2084,4
2085,1
2086,5
2087,6
2088,4
2089,1
2090,1
2091,8
2092,9
2093,9
2094,0
2095,1
2096,6
2097,2
2098,4
2099,3
2100,4
2101,7
2102,2
2103,2
2104,6
2105,1
2106,2
2107,1
2108,4
2109,2
2110,2
2111,1
2112,9
2113,1
2114,0
2115,0
2116,0
2117,6
2118,6
2119,0
2120,6
2121,1
2122,3
2123,2
2124,7
2125,6
2126,9
2127,1
2128,7
2129,7
2130,9
2131,4
2132,4
2133,8
2134,1
2135,6
2136,0
2137,7
2138,5
2139,0
2140,5
2141,9
2142,4
2143,0
2144,6
2145,9
2146,3
2147,0
2148,7
2149,6
2150,0
2151,6
2152,0
2153,7
2154,6
2155,2
2156,9
2157,5
2158,5
2159,9
2160,2
2161,9
2162,0
2163,9
2164,6
2165,1
2166,2
2167,9
2168,9
2169,2
2170,0
2171,7
2172,9
2173,6
2174,1
2175,5
2176,8
2177,1
2178,8
2179,1
2180,5
2181,7
2182,6
2183,8
2184,9
2185,2
2186,6
2187,0
2188,4
2189,8
2190,1
2191,5
2192,2
2193,6
2194,5
2195,4
2196,8
2197,9
2198,0
2199,1
2200,6
2201,6
2202,4
2203,0
2204,4
2205,9
2206,1
2207,1
2208,5
2209,6
2210,0
2211,2
2212,1
2213,1
2214,7
2215,2
2216,6
2217,4
2218,1
2219,0
2220,8
2221,8
2222,1
2223,5
2224,1
2225,4
2226,3
2227,0
2228,1
2229,2
2230,3
2231,5
2232,0
2233,1
2234,0
2235,4
2236,9
2237,2
2238,6
2239,3
2240,1
2241,0
2242,2
2243,5
2244,5
2245,9
2246,0
2247,2
2248,9
2249,1
2250,3
2251,7
2252,1
2253,6
2254,6
2255,0
2256,0
2257,0
2258,9
2259,4
2260,4
2261,2
2262,3
2263,4
2264,0
2265,7
2266,0
2267,0
2268,9
2269,2
2270,2
2271,1
2272,9
2273,6
2274,4
2275,5
2276,7
2277,6
2278,7
2279,7
2280,4
2281,5
2282,9
2283,9
2284,5
2285,6
2286,7
2287,8
2288,6
2289,5
2290,8
2291,1
2292,1
2293,1
2294,9
2295,2
2296,6
2297,1
2298,1
2299,0
2300,7
2301,6
2302,8
2303,3
2304,6
2305,2
2306,9
2307,1
2308,8
2309,2
2310,4
2311,8
2312,8
2313,2
2314,9
2315,9
2316,4
2317,2
2318,3
2319,6
2320,5
2321,0
2322,5
2323,4
2324,1
2325,7
2326,4
2327,9
2328,9
2329,9
2330,6
2331,6
2332,9
2333,8
2334,9
2335,1
2336,1
2337,2
2338,2
2339,0
2340,9
2341,2
2342,6
2343,1
2344,6
2345,1
2346,4
2347,1
2348,3
2349,5
2350,3
2351,1
2352,2
2353,0
2354,0
2355,4
2356,2
2357,4
2358,7
2359,5
2360,4
2361,0
2362,9
2363,1
2364,5
2365,2
2366,2
2367,2
2368,3
2369,0
2370,4
2371,9
2372,4
2373,7
2374,9
2375,0
2376,0
2377,5
2378,4
2379,8
2380,9
2381,3
2382,4
2383,0
2384,4
2385,8
2386,1
2387,3
2388,7
2389,4
2390,7
2391,7
2392,8
2393,2
2394,8
2395,3
2396,1
2397,1
2398,5
2399,3
2400,5
2401,7
2402,4
2403,8
2404,6
2405,7
2406,3
2407,7
2408,9
2409,9
2410,1
2411,8
2412,3
2413,7
2414,0
2415,7
2416,8
2417,0
2418,9
2419,2
2420,9
2421,1
2422,3
2423,3
2424,8
2425,1
2426,1
2427,9
2428,9
2429,8
2430,9
2431,3
2432,2
2433,9
2434,4
2435,9
2436,0
2437,7
2438,7
2439,9
2440,1
2441,7
2442,9
2443,3
2444,5
2445,9
2446,4
2447,9
2448,1
2449,3
2450,3
2451,3
2452,0
2453,2
2454,0
2455,6
2456,3
2457,6
2458,5
2459,1
2460,8
2461,6
2462,2
2463,0
2464,9
2465,4
2466,1
2467,4
2468,4
2469,1
2470,3
2471,1
2472,1
2473,5
2474,8
2475,9
2476,6
2477,4
2478,7
2479,4
2480,2
2481,4
2482,8
2483,9
2484,6
2485,0
2486,8
2487,6
2488,2
2489,6
2490,1
2491,9
2492,6
2493,2
2494,2
2495,6
2496,8
2497,5
2498,9
2499,7
2500,7
2501,2
2502,8
2503,6
2504,5
2505,5
2506,1
2507,3
2508,8
2509,7
2510,4
2511,5
2512,1
2513,2
2514,9
2515,2
2516,4
2517,1
2518,5
2519,0
2520,5
2521,5
2522,8
2523,9
2524,7
2525,8
2526,6
2527,0
2528,9
2529,4
2530,7
2531,3
2532,7
2533,2
2534,2
2535,5
2536,4
2537,9
2538,4
2539,1
2540,8
2541,4
2542,5
2543,6
2544,5
2545,9
2546,3
2547,7
2548,1
2549,1
2550,5
2551,3
2552,7
2553,2
2554,5
2555,0
2556,0
2557,9
2558,3
2559,0
2560,1
2561,7
2562,5
2563,2
2564,3
2565,1
2566,2
2567,7
2568,6
2569,6
2570,7
2571,6
2572,0
2573,3
2574,4
2575,0
2576,7
2577,3
2578,9
2579,3
2580,2
2581,0
2582,8
2583,6
2584,1
2585,8
2586,3
2587,5
2588,7
2589,0
2590,8
2591,6
2592,7
2593,1
2594,2
2595,4
2596,4
2597,3
2598,3
2599,3
2600,0
2601,0
2602,2
2603,2
2604,7
2605,0
2606,1
2607,3
2608,8
2609,2
2610,8
2611,2
2612,1
2613,5
2614,3
2615,1
2616,6
2617,1
2618,7
2619,1
2620,2
2621,4
2622,9
2623,2
2624,6
2625,1
2626,5
2627,0
2628,8
2629,0
2630,9
2631,4
2632,9
2633,2
2634,4
2635,9
2636,8
2637,3
2638,4
2639,7
2640,0
2641,1
2642,3
2643,8
2644,9
2645,5
2646,6
2647,0
2648,3
2649,3
2650,8
2651,5
2652,5
2653,5
2654,3
2655,7
2656,7
2657,9
2658,7
2659,8
2660,5
2661,0
2662,0
2663,1
2664,2
2665,3
2666,9
2667,5
2668,1
2669,1
2670,9
2671,7
2672,1
2673,5
2674,6
2675,3
2676,3
2677,4
2678,0
2679,0
2680,1
2681,3
2682,5
2683,7
2684,7
2685,3
2686,6
2687,6
2688,5
2689,2
2690,5
2691,4
2692,2
2693,2
2694,4
2695,0
2696,6
2697,6
2698,1
2699,9
2700,1
2701,9
2702,2
2703,0
2704,6
2705,3
2706,1
2707,1
2708,9
2709,1
2710,0
2711,8
2712,6
2713,0
2714,7
2715,3
2716,2
2717,6
2718,5
2719,0
2720,0
2721,3
2722,7
2723,7
2724,7
2725,4
2726,1
2727,8
2728,2
2729,6
2730,6
2731,0
2732,7
2733,0
2734,4
2735,5
2736,3
2737,5
2738,6
2739,3
2740,6
2741,5
2742,7
2743,9
2744,2
2745,0
2746,1
2747,0
2748,4
2749,6
2750,5
2751,7
2752,5
2753,1
2754,9
2755,0
2756,6
2757,3
2758,2
2759,3
2760,4
2761,3
2762,6
2763,2
2764,3
2765,2
2766,3
2767,5
2768,2
2769,2
2770,1
2771,3
2772,4
2773,4
2774,3
2775,0
2776,5
2777,7
2778,8
2779,4
2780,5
2781,0
2782,8
2783,6
2784,0
2785,2
2786,1
2787,9
2788,4
2789,0
2790,9
2791,6
2792,0
2793,7
2794,1
2795,1
2796,5
2797,2
2798,5
2799,6
2800,8
2801,6
2802,4
2803,1
2804,1
2805,6
2806,8
2807,0
2808,7
2809,8
2810,3
2811,4
2812,9
2813,6
2814,8
2815,3
2816,1
2817,5
2818,9
2819,2
2820,1
2821,1
2822,3
2823,8
2824,4
2825,8
2826,9
2827,6
2828,3
2829,6
2830,7
2831,1
2832,7
2833,3
2834,9
2835,4
2836,7
2837,2
2838,1
2839,3
2840,6
2841,7
2842,4
2843,6
2844,0
2845,6
2846,4
2847,4
2848,1
2849,9
2850,6
2851,1
2852,2
2853,0
2854,0
2855,7
2856,0
2857,0
2858,0
2859,1
2860,6
2861,7
2862,1
2863,5
2864,9
2865,9
2866,9
2867,9
2868,7
2869,2
2870,9
2871,4
2872,2
2873,6
2874,0
2875,9
2876,5
2877,4
2878,7
2879,6
2880,2
2881,0
2882,8
2883,1
2884,9
2885,4
2886,7
2887,9
2888,1
2889,1
2890,3
2891,9
2892,3
2893,2
2894,8
2895,8
2896,7
2897,7
2898,1
2899,9
2900,1
2901,0
2902,6
2903,5
2904,1
2905,8
2906,8
2907,3
2908,9
2909,2
2910,4
2911,5
2912,9
2913,1
2914,9
2915,2
2916,0
2917,8
2918,3
2919,7
2920,9
2921,4
2922,5
2923,6
2924,5
2925,1
2926,8
2927,5
2928,7
2929,6
2930,1
2931,1
2932,5
2933,7
2934,9
2935,4
2936,9
2937,0
2938,0
2939,5
2940,7
2941,1
2942,4
2943,7
2944,1
2945,8
2946,0
2947,2
2948,9
2949,7
2950,9
2951,5
2952,7
2953,8
2954,9
2955,9
2956,1
2957,0
2958,1
2959,7
2960,4
2961,6
2962,1
2963,6
2964,3
2965,5
2966,7
2967,3
2968,8
2969,0
2970,2
2971,0
2972,4
2973,3
2974,1
2975,0
2976,3
2977,9
2978,2
2979,7
2980,5
2981,5
2982,4
2983,9
2984,9
2985,0
2986,5
2987,6
2988,6
2989,6
2990,9
2991,4
2992,1
2993,7
2994,5
2995,7
2996,1
2997,5
2998,8
2999,0
3000,4
3001,3
3002,3
3003,4
3004,1
3005,3
3006,1
3007,3
3008,4
3009,7
3010,0
3011,5
3012,4
3013,8
3014,2
3015,8
3016,1
3017,0
3018,8
3019,6
3020,8
3021,8
3022,5
3023,5
3024,5
3025,5
3026,1
3027,6
3028,7
3029,9
3030,1
3031,7
3032,9
3033,5
3034,9
3035,6
3036,4
3037,8
3038,4
3039,9
3040,5
3041,5
3042,0
3043,6
3044,9
3045,9
3046,5
3047,4
3048,8
3049,2
3050,7
3051,8
3052,7
3053,1
3054,4
3055,5
3056,7
3057,8
3058,9
3059,6
3060,7
3061,4
3062,5
3063,2
3064,7
3065,7
3066,9
3067,8
3068,3
3069,2
3070,6
3071,0
3072,8
3073,4
3074,8
3075,3
3076,1
3077,5
3078,5
3079,9
3080,5
3081,5
3082,0
3083,4
3084,8
3085,8
3086,3
3087,9
3088,7
3089,9
3090,6
3091,7
3092,3
3093,0
3094,6
3095,0
3096,7
3097,1
3098,2
3099,7
3100,7
3101,4
3102,6
3103,7
3104,7
3105,4
3106,0
3107,2
3108,0
3109,9
3110,1
3111,1
3112,5
3113,9
3114,2
3115,7
3116,4
3117,0
3118,2
3119,7
3120,6
3121,0
3122,3
3123,9
3124,8
3125,7
3126,7
3127,8
3128,9
3129,3
3130,6
3131,4
3132,0
3133,1
3134,6
3135,5
3136,1
3137,1
3138,1
3139,2
3140,7
3141,9
3142,4
3143,6
3144,6
3145,8
3146,5
3147,0
3148,2
3149,9
3150,7
3151,4
3152,3
3153,6
3154,8
3155,9
3156,3
3157,1
3158,6
3159,1
3160,7
3161,5
3162,8
3163,5
3164,1
3165,4
3166,9
3167,5
3168,0
3169,4
3170,6
3171,6
3172,1
3173,7
3174,6
3175,7
3176,9
3177,4
3178,2
3179,4
3180,5
3181,0
3182,9
3183,5
3184,9
3185,2
3186,7
3187,7
3188,1
3189,1
3190,1
3191,8
3192,3
3193,4
3194,2
3195,2
3196,6
3197,0
3198,1
3199,0
3200,7
3201,8
3202,9
3203,2
3204,6
3205,4
3206,9
3207,5
3208,1
3209,4
3210,9
3211,1
3212,1
3213,4
3214,5
3215,8
3216,8
3217,2
3218,9
3219,1
3220,9
3221,9
3222,7
3223,7
3224,8
3225,9
3226,2
3227,1
3228,8
3229,8
3230,6
3231,7
3232,9
3233,4
3234,0
3235,0
3236,0
3237,4
3238,3
3239,0
3240,8
3241,0
3242,6
3243,8
3244,2
3245,1
3246,3
3247,2
3248,6
3249,1
3250,8
3251,7
3252,4
3253,9
3254,9
3255,4
3256,4
3257,0
3258,4
3259,2
3260,1
3261,3
3262,5
3263,4
3264,9
3265,4
3266,4
3267,9
3268,4
3269,2
3270,0
3271,7
3272,9
3273,3
3274,4
3275,2
3276,6
3277,4
3278,0
3279,7
3280,5
3281,0
3282,5
3283,4
3284,7
3285,8
3286,7
3287,3
3288,0
3289,9
3290,3
3291,8
3292,9
3293,9
3294,2
3295,1
3296,2
3297,7
3298,8
3299,3
3300,1
3301,0
3302,6
3303,9
3304,0
3305,1
3306,2
3307,3
3308,9
3309,3
3310,3
3311,0
3312,1
3313,7
3314,1
3315,6
3316,5
3317,8
3318,1
3319,0
3320,7
3321,9
3322,2
3323,9
3324,0
3325,9
3326,7
3327,9
3328,6
3329,9
3330,7
3331,4
3332,5
3333,6
3334,9
3335,4
3336,7
3337,4
3338,6
3339,6
3340,1
3341,3
3342,6
3343,1
3344,9
3345,1
3346,4
3347,6
3348,6
3349,8
3350,7
3351,3
3352,1
3353,9
3354,4
3355,2
3356,3
3357,4
3358,8
3359,7
3360,3
3361,0
3362,5
3363,1
3364,1
3365,2
3366,7
3367,6
3368,7
