id,digit
2049,8
2050,9
2051,8
2052,0
2053,3
2054,8
2055,5
2056,3
2057,4
2058,4
2059,1
2060,5
2061,7
2062,5
2063,1
2064,8
2065,1
2066,6
2067,1
2068,4
2069,5
2070,9
2071,7
2072,5
2073,5
2074,7
2075,0
2076,5
2077,4
2078,6
2079,8
2080,8
2081,5
2082,5
2083,0
2084,4
2085,1
2086,5
2087,2
2088,4
2089,1
2090,1
2091,8
2092,9
2093,3
2094,0
2095,3
2096,6
2097,2
2098,5
2099,3
2100,4
2101,7
2102,2
2103,2
2104,6
2105,1
2106,0
2107,0
2108,5
2109,2
2110,2
2111,1
2112,9
2113,3
2114,0
2115,0
2116,0
2117,5
2118,7
2119,5
2120,6
2121,3
2122,3
2123,2
2124,7
2125,6
2126,9
2127,1
2128,7
2129,7
2130,0
2131,5
2132,4
2133,8
2134,9
2135,2
2136,6
2137,7
2138,0
2139,5
2140,5
2141,9
2142,4
2143,0
2144,5
2145,4
2146,3
2147,0
2148,9
2149,6
2150,5
2151,6
2152,0
2153,5
2154,6
2155,8
2156,9
2157,5
2158,7
2159,9
2160,2
2161,7
2162,8
2163,8
2164,6
2165,3
2166,2
2167,9
2168,7
2169,3
2170,0
2171,2
2172,9
2173,6
2174,7
2175,5
2176,8
2177,1
2178,2
2179,1
2180,5
2181,9
2182,6
2183,5
2184,4
2185,8
2186,5
2187,0
2188,4
2189,8
2190,8
2191,5
2192,2
2193,6
2194,5
2195,8
2196,8
2197,7
2198,5
2199,9
2200,6
2201,6
2202,8
2203,0
2204,6
2205,9
2206,3
2207,8
2208,5
2209,6
2210,0
2211,5
2212,1
2213,1
2214,7
2215,0
2216,9
2217,9
2218,1
2219,0
2220,4
2221,9
2222,4
2223,5
2224,1
2225,7
2226,3
2227,0
2228,2
2229,5
2230,5
2231,5
2232,0
2233,1
2234,0
2235,4
2236,9
2237,6
2238,6
2239,3
2240,9
2241,0
2242,6
2243,5
2244,5
2245,9
2246,0
2247,2
2248,9
2249,1
2250,5
2251,0
2252,1
2253,5
2254,6
2255,2
2256,8
2257,5
2258,9
2259,9
2260,2
2261,2
2262,3
2263,9
2264,0
2265,7
2266,3
2267,0
2268,7
2269,0
2270,2
2271,8
2272,9
2273,5
2274,4
2275,5
2276,7
2277,6
2278,7
2279,7
2280,4
2281,5
2282,9
2283,9
2284,5
2285,6
2286,7
2287,9
2288,6
2289,8
2290,8
2291,8
2292,1
2293,1
2294,9
2295,2
2296,6
2297,9
2298,1
2299,0
2300,7
2301,2
2302,9
2303,3
2304,2
2305,2
2306,9
2307,7
2308,2
2309,2
2310,4
2311,8
2312,5
2313,2
2314,5
2315,8
2316,4
2317,2
2318,3
2319,6
2320,5
2321,5
2322,5
2323,9
2324,9
2325,8
2326,5
2327,9
2328,9
2329,9
2330,3
2331,0
2332,9
2333,8
2334,9
2335,1
2336,1
2337,2
2338,2
2339,6
2340,9
2341,6
2342,6
2343,1
2344,0
2345,7
2346,9
2347,9
2348,3
2349,5
2350,3
2351,1
2352,6
2353,0
2354,0
2355,7
2356,2
2357,0
2358,7
2359,5
2360,4
2361,0
2362,9
2363,7
2364,2
2365,7
2366,4
2367,2
2368,4
2369,0
2370,6
2371,9
2372,1
2373,7
2374,9
2375,0
2376,5
2377,9
2378,9
2379,2
2380,5
2381,7
2382,4
2383,0
2384,5
2385,9
2386,1
2387,3
2388,7
2389,4
2390,8
2391,7
2392,5
2393,4
2394,8
2395,3
2396,1
2397,1
2398,5
2399,3
2400,3
2401,2
2402,4
2403,8
2404,9
2405,9
2406,3
2407,7
2408,5
2409,9
2410,0
2411,8
2412,3
2413,7
2414,0
2415,5
2416,5
2417,0
2418,9
2419,2
2420,9
2421,9
2422,3
2423,3
2424,8
2425,1
2426,1
2427,4
2428,8
2429,8
2430,9
2431,3
2432,2
2433,9
2434,4
2435,9
2436,0
2437,7
2438,3
2439,9
2440,1
2441,7
2442,5
2443,7
2444,3
2445,9
2446,4
2447,4
2448,0
2449,3
2450,3
2451,3
2452,0
2453,2
2454,9
2455,6
2456,3
2457,6
2458,5
2459,1
2460,9
2461,6
2462,7
2463,0
2464,9
2465,2
2466,1
2467,4
2468,4
2469,7
2470,3
2471,1
2472,8
2473,5
2474,9
2475,9
2476,6
2477,4
2478,7
2479,4
2480,8
2481,9
2482,8
2483,9
2484,6
2485,6
2486,3
2487,2
2488,2
2489,6
2490,7
2491,9
2492,2
2493,2
2494,2
2495,6
2496,8
2497,5
2498,9
2499,7
2500,7
2501,2
2502,8
2503,8
2504,5
2505,5
2506,1
2507,0
2508,5
2509,7
2510,7
2511,5
2512,7
2513,9
2514,9
2515,2
2516,9
2517,1
2518,5
2519,0
2520,5
2521,5
2522,5
2523,9
2524,7
2525,8
2526,5
2527,5
2528,9
2529,4
2530,0
2531,3
2532,7
2533,2
2534,9
2535,5
2536,4
2537,5
2538,4
2539,7
2540,8
2541,5
2542,9
2543,6
2544,5
2545,9
2546,3
2547,9
2548,1
2549,1
2550,5
2551,2
2552,4
2553,2
2554,5
2555,0
2556,0
2557,9
2558,3
2559,0
2560,1
2561,7
2562,5
